,0
62,"['gruesome', 'court', 'rage', 'anthology', 'refuge', 'cradle', 'fear', 'contact', 'terrible', 'want', 'jail', 'child', 'killer', 'play', 'vengeance', 'responsible', 'imprisonment', 'help', 'derange', 'angel', 'dani', 'filth', 'leaf', 'train', 'home', 'end', 'violent', 'wake', 'cannibal', 'con', 'goth', 'run', 'night', 'base', 'hell', 'hard', 'female', 'find', 'deep', 'snow', 'head', 'chop', 'internet', 'surfer', 'settle', 'ultimate', 'corruption']"
63,"['aspire', 'artist', 'high', 'school', 'student', 'force', 'lead', 'team', 'place', 'isnt', 'big', 'return', 'chance', 'follow', 'daughter', 'long', 'term', 'crush', 'take', 'complicate', 'find', 'mate', 'real', 'love']"
64,"['napoleon', 'exile', 'plan', 'retake', 'throne', 'hell', 'trade', 'mutual', 'sergeant', 'eugene', 'lenormand', 'mouse', 'paris', 'break', 'find', 'dont', 'get', 'journey', 'professor', 'hard', 'look', 'much', 'magic', 'set', 'uneasily', 'life', 'deep', 'food']"
65,"['heart', 'world', 'war', 'march', 'cryptoanalysts', 'code', 'develop', 'name', 'horror', 'nazi', 'u', 'change', 'secret', 'engage', 'help', 'brilliant', 'young', 'make', 'tom', 'jericho', 'give', 'possibility', 'spy', 'british', 'rank', 'love', 'claire', 'disappear', 'clear', 'friend', 'hester', 'wallace', 'investigate', 'claires', 'personal', 'life', 'couple', 'international']"
66,"['economist', 'reporter', 'jack', 'elgin', 'workaholic', 'take', 'family', 'turn', 'trip', 'india', 'question', 'pm', 'plane', 'hijack', 'limassol', 'cyprus', 'strange', 'terrorist', 'effort', 'end', 'bloodbath', 'save', 'pre', 'teenager', 'son', 'andrew', 'weapon', 'wife', 'slaughter', 'western', 'seem', 'unwilling', 'get', 'cover', 'identity', 'high', 'profile', 'victim', 'single', 'father', 'use', 'snoop', 'skill', 'attempt', 'truth', 'london', 'home', 'serbian', 'free', 'newspaper', 'editor', 'train', 'balkanic', 'murder', 'revenge', 'tip', 'sûreté', 'contact', 'duguay', 'embassy', 'official', 'davidson', 'fbi', 'special', 'agent', 'bernard', 'meet', 'key', 'part', 'mi5', 'lead', 'investigation', 'frustrate', 'course']"
67,"['set', 'story', 'take', 'home', 'old', 'way', 'side', 'country', 'weekend', 'charge', 'party', 'underway', 'mccordle', 'family', 'world', 'sir', 'william', 'michael', 'gambon', 'mother', 'get', 'benefactor', 'many', 'break', 'seem', 'everyone', 'step', 'want', 'man', 'money']"
68,"['best', 'shannon', 'minnie', 'driver', 'mary', 'mccormack', 'know', 'london', 'find', 'struggle', 'season', 'decide', 'pressure', 'cant', 'heist', 'neighborhood', 'cover', 'crime', 'police', 'refuse', 'meet', 'new', 'rival', 'return', 'involve', 'crew', 'mason', 'kevin', 'kerrigan', 'sir', 'michael', 'gambon', 'go', 'encounter', 'dirty', 'threaten', 'force', 'counterfeit', 'money', 'drive', 'make', 'form', 'injure', 'free', 'bystander', 'kooky', 'use', 'friendship', 'gift', 'lure', 'bad', 'trap']"
69,"['misty', 'morning', 'liz', 'dunn', 'hit', 'road', 'school', 'help', 'psychologist', 'take', 'break', 'story', 'month', 'rebellious', 'mike', 'frankie', 'geoff', 'try', 'dump', 'area', 'trip', 'wales', 'nerd', 'martin', 'provide', 'stay', 'old', 'war', 'trap', 'term', 'friend', 'get', 'party', 'big', 'play', 'doesnt', 'return', 'hope', 'pray', 'person', 'find']"
70,"['good', 'job', 'friend', 'ensure', 'relationship', 'day', 'return', 'perfect', 'life', 'think', 'nothing', 'able', 'control', 'give', 'go', 'start', 'group', 'therapy', 'lose', 'several', 'hurt', 'eclectic', 'decide', 'take', 'search', 'way', 'break', 'home', 'complete', 'anonymity', 'wake', 'different', 'person']"
71,"['famous', 'symbologist', 'train', 'draw', 'big', 'dante', 'langdon', 'italian', 'hospital', 'amnesia', 'sienna', 'doctor', 'hope', 'help', 'find', 'race', 'europe', 'clock', 'stop', 'madman', 'unleash', 'world', 'virus', 'wipe', 'half', 'universe']"
72,"['film', 'home', 'life', 'revere', 'british', 'writer', 'philosopher', 'iris', 'murdoch', 'dame', 'judi', 'dench', 'story', 'unlikely', 'run', 'love', 'young', 'academic', 'education', 'philosophy', 'oxford', 'kate', 'winslet', 'return', 'boyfriend', 'professor', 'john', 'bayley', 'hugh', 'bonneville', 'world', 'awkwardness', 'seem', 'perfect', 'enemy', 'heart', 'self', 'trust', 'future', 'wife', 'open', 'time', 'find', 'former', 'jim', 'forty', 'charismatic', 'individualistic', 'personality', 'present', 'vibrant', 'woman', 'big', 'understanding', 'line', 'disease', 'devastate', 'head', 'contract', 'simple', 'shadow', 'old', 'unable', 'do', 'reliant', 'cross', 'pay', 'husband']"
73,"['george', 'peaceful', 'expressionless', 'nigerian', 'buffalo', 'airport', 'see', 'family', 'order', 'marry', 'former', 'get', 'return', 'trip', 'take', 'marriage', 'alicia', 'latin', 'start', 'boyfriend', 'find', 'smite', 'happenstance', 'intent', 'gerard', 'romantic', 'manic', 'frenchman', 'course', 'alicias', 'assume', 'chance', 'rise', 'tomorrow', 'fate', 'custom']"
